level,id,label,description,value,parent,density_rank_percentile
1,1_2,AI Governance,Opinions about regulating and governing AI development,169,0,
1,1_3,Environmental Impact,Concerns about AI's environmental effects,184,0,
1,1_1,Ethics & Values,Discussions about ethical considerations in AI,84,0,
1,1_5,Economic Effects,Views on AI's economic implications,163,0,
1,1_4,Safety & Risk,Perspectives on AI safety and potential risks,86,0,
2,2_12,Regulation Policy,Specific policy recommendations for AI regulation,29,1_2,
2,2_6,Democratic Process,Views on democratic involvement in AI decisions,47,1_3,
2,2_3,Climate & Energy,AI's relationship to climate and energy,49,1_3,
2,2_0,Sustainability,Long-term sustainability considerations,40,1_1,
2,2_7,Moral Framework,Ethical frameworks for AI development,44,1_1,
2,2_11,Human Rights,AI and human rights concerns,53,1_5,
2,2_10,Job Market,AI's impact on employment,50,1_2,
2,2_9,Inequality,AI and social/economic inequality,49,1_3,
2,2_14,Existential Risk,Long-term existential risks from AI,53,1_5,
2,2_4,Near-term Safety,Immediate safety concerns,57,1_5,
2,2_1,Data Privacy,Data collection and privacy issues,47,1_4,
2,2_2,Transparency,AI transparency and explainability,33,1_2,
2,2_8,Education,AI in education and training,39,1_4,
2,2_5,Public Awareness,Public understanding of AI,57,1_2,
2,2_13,International Cooperation,Global AI governance,39,1_3,
